Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
N 85th St / Aurora Av N,Aid Response,07/08/2015 08:23:00 PM +0000,47.690563,-122.344522,"(47.690563, -122.344522)",F150075881
Aurora Av N / N 85th St,Aid Response,07/08/2015 08:22:00 PM +0000,47.690563,-122.344522,"(47.690563, -122.344522)",F150075880
10564 5th Av Ne,Trans to AMR,07/08/2015 08:21:00 PM +0000,47.705755,-122.323193,"(47.705755, -122.323193)",F150075879
2306 California Av Sw,Aid Response,07/08/2015 08:20:00 PM +0000,47.582959,-122.38648,"(47.582959, -122.38648)",F150075878
N 125th St / Aurora Av N,Aid Response,07/08/2015 08:17:00 PM +0000,47.719572,-122.344937,"(47.719572, -122.344937)",F150075877
Rainier Av S / S Byron St,Aid Response,07/08/2015 08:10:00 PM +0000,47.573943,-122.294787,"(47.573943, -122.294787)",F150075876
300 Elliott Av W,Aid Response,07/08/2015 08:08:00 PM +0000,47.620961,-122.361282,"(47.620961, -122.361282)",F150075875
5th Av S / S Jackson St,Aid Response,07/08/2015 08:07:00 PM +0000,47.599195,-122.327667,"(47.599195, -122.327667)",F150075874
1501 4th Av,Medic Response,07/08/2015 08:04:00 PM +0000,47.610214,-122.336683,"(47.610214, -122.336683)",F150075873
4001 Airport Way S,Aid Response,07/08/2015 08:01:00 PM +0000,47.568065,-122.322674,"(47.568065, -122.322674)",F150075872
9200 2nd Av Sw,Aid Response,07/08/2015 07:58:00 PM +0000,47.521244,-122.336301,"(47.521244, -122.336301)",F150075871
9244 Sand Point Way Ne,MVI - Motor Vehicle Incident,07/08/2015 07:55:00 PM +0000,47.695704,-122.276334,"(47.695704, -122.276334)",F150075870
450 Ne 100th St,Aid Response,07/08/2015 07:55:00 PM +0000,47.701329,-122.323684,"(47.701329, -122.323684)",F150075869
10201 Aurora Av N,Medic Response- 6 per Rule,07/08/2015 07:50:00 PM +0000,47.702878,-122.344668,"(47.702878, -122.344668)",F150075867
807 S King St,Aid Response,07/08/2015 07:50:00 PM +0000,47.598348,-122.32235,"(47.598348, -122.32235)",F150075868
509 3rd Av,Aid Response,07/08/2015 07:46:00 PM +0000,47.602114,-122.330809,"(47.602114, -122.330809)",F150075865
3232 Nw 54th St,Aid Response,07/08/2015 07:40:00 PM +0000,47.66746,-122.399718,"(47.66746, -122.399718)",F150075864
1250 1st Av S,Medic Response,07/08/2015 07:38:00 PM +0000,47.592046,-122.334195,"(47.592046, -122.334195)",F150075863
8815 Seward Park Av S,Auto Fire Alarm,07/08/2015 07:36:00 PM +0000,47.52412,-122.264611,"(47.52412, -122.264611)",F150075862
6727 2nd Av Nw,Aid Response,07/08/2015 07:27:00 PM +0000,47.677934,-122.35946,"(47.677934, -122.35946)",F150075860
910 Marion St,Aid Response,07/08/2015 07:25:00 PM +0000,47.607742,-122.326595,"(47.607742, -122.326595)",F150075861
310 15th Av E,Aid Response,07/08/2015 07:22:00 PM +0000,47.620859,-122.31269,"(47.620859, -122.31269)",F150075859
4216 6th Av Nw,Aid Response,07/08/2015 07:18:00 PM +0000,47.658163,-122.363984,"(47.658163, -122.363984)",F150075857
14th Av Nw / Nw Market St,Aid Response,07/08/2015 07:16:00 PM +0000,47.668665,-122.373589,"(47.668665, -122.373589)",F150075856
1902 2nd Av,Automatic Medical Alarm,07/08/2015 07:14:00 PM +0000,47.610972,-122.340465,"(47.610972, -122.340465)",F150075855
100 Crockett St,Medic Response,07/08/2015 07:07:00 PM +0000,47.637416,-122.355598,"(47.637416, -122.355598)",F150075854
Maynard Al S / S King St,Rubbish Fire,07/08/2015 06:59:00 PM +0000,47.598351,-122.324404,"(47.598351, -122.324404)",F150075852
4526 15th Av Ne,Aid Response,07/08/2015 06:59:00 PM +0000,47.661492,-122.31199,"(47.661492, -122.31199)",F150075851
8510 Midvale Av N,Alarm Bell,07/08/2015 06:52:00 PM +0000,47.690601,-122.342374,"(47.690601, -122.342374)",F150075848
117 18th Av,Trans to AMR,07/08/2015 06:49:00 PM +0000,47.602011,-122.308962,"(47.602011, -122.308962)",F150075849
12007 15th Av Ne,Aid Response,07/08/2015 06:49:00 PM +0000,47.715826,-122.312557,"(47.715826, -122.312557)",F150075847
75 Vine St,AFA4 - Auto Alarm 2 + 1 + 1,07/08/2015 06:46:00 PM +0000,47.614585,-122.350542,"(47.614585, -122.350542)",F150075846
2024 3rd Av,Aid Response,07/08/2015 06:46:00 PM +0000,47.612578,-122.341197,"(47.612578, -122.341197)",F150075845
4618 S Juneau St,Aid Response,07/08/2015 06:40:00 PM +0000,47.549707,-122.275158,"(47.549707, -122.275158)",F150075841
1050 Ne 50th St,Aid Response,07/08/2015 06:39:00 PM +0000,47.664932,-122.316859,"(47.664932, -122.316859)",F150075842
5th Av / Pine St,Aid Response,07/08/2015 06:37:00 PM +0000,47.611672,-122.336484,"(47.611672, -122.336484)",F150075838
3rd Av / Jefferson St,Medic Response,07/08/2015 06:37:00 PM +0000,47.602056,-122.330756,"(47.602056, -122.330756)",F150075839
4216 6th Av S,Medic Response,07/08/2015 06:36:00 PM +0000,47.566289,-122.326727,"(47.566289, -122.326727)",F150075837
2208 2nd Av,Assault w/Weap 7 per Rule,07/08/2015 06:27:00 PM +0000,47.613326,-122.344446,"(47.613326, -122.344446)",F150075835
6220 32nd Av Ne,Auto Fire Alarm,07/08/2015 06:19:00 PM +0000,47.674094,-122.293258,"(47.674094, -122.293258)",F150075834
4544 7th Av Ne,Aid Response,07/08/2015 06:17:00 PM +0000,47.661533,-122.320727,"(47.661533, -122.320727)",F150075833
S Graham St / M L King Jr Way S,MVI - Motor Vehicle Incident,07/08/2015 06:14:00 PM +0000,47.546057,-122.285631,"(47.546057, -122.285631)",F150075832
4th Av / Blanchard St,Aid Response,07/08/2015 06:13:00 PM +0000,47.6146,-122.342634,"(47.6146, -122.342634)",F150075831
N 54th St / Green Lake Way N,Aid Response,07/08/2015 06:10:00 PM +0000,47.667764,-122.340081,"(47.667764, -122.340081)",F150075830
7300 Roosevelt Way Ne,Aid Response,07/08/2015 06:10:00 PM +0000,47.681554,-122.317457,"(47.681554, -122.317457)",F150075829
414 Prospect St,Medic Response,07/08/2015 06:06:00 PM +0000,47.628916,-122.348656,"(47.628916, -122.348656)",F150075828
8447 50th Av S,Medic Response,07/08/2015 05:56:00 PM +0000,47.527308,-122.2714,"(47.527308, -122.2714)",F150075825
1400 Taylor Av N,Medic Response- 7 per Rule,07/08/2015 05:56:00 PM +0000,47.63141,-122.346267,"(47.63141, -122.346267)",F150075826
9th Av Nw / Nw 58th St,Aid Response,07/08/2015 05:52:00 PM +0000,47.670894,-122.368598,"(47.670894, -122.368598)",F150075823
1250 1ST AV S,EVENT - Special Event,07/08/2015 05:52:00 PM +0000,47.592046,-122.334195,"(47.592046, -122.334195)",F150075824
7342 15th Av Nw,MVI - Motor Vehicle Incident,07/08/2015 05:45:00 PM +0000,47.681766,-122.376775,"(47.681766, -122.376775)",F150075821
5270 Rainier Av S,Trans to AMR,07/08/2015 05:37:00 PM +0000,47.554937,-122.282393,"(47.554937, -122.282393)",F150075819
2307 18th Av E,Automatic Medical Alarm,07/08/2015 05:34:00 PM +0000,47.6396,-122.308978,"(47.6396, -122.308978)",F150075817
9722 8th Av Nw,Medic Response,07/08/2015 05:34:00 PM +0000,47.699447,-122.366044,"(47.699447, -122.366044)",F150075818
